title,link,newspaper,date,time,category
BOOK REVIEW: NONFICTION/ 'Thrice born': The journey of Bangladeshi literature in English,https://www.thedailystar.net/daily-star-books/news/thrice-born-the-journey-bangladeshi-literature-english-3694756,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
THE SHELF/ Diverging perspectives: Exploring Bangladesh’s history through controversial narratives,https://www.thedailystar.net/daily-star-books/news/diverging-perspectives-exploring-bangladeshs-history-through-controversial-narratives-3694716,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
EVENT REPORT/ ‘Rebels with a cause’: In-Zine event celebrates the importance of self-published zines that challenge oppression,https://www.thedailystar.net/daily-star-books/news/rebels-cause-zine-event-celebrates-the-importance-self-published-zines-challenge-oppression-3694386,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
INTERVIEW/ Into the world of speculative fiction: An Interview with 'Small World City',https://www.thedailystar.net/daily-star-books/news/the-world-speculative-fiction-interview-small-world-city-3693546,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Bangladesh and China committed to cooperation in water management: Rizwana,https://www.thedailystar.net/news/bangladesh/news/bangladesh-and-china-committed-cooperation-water-management-rizwana-3700306,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
"Heavy rains likely in Dhaka, 4 other divisions in next 24 hours",https://www.thedailystar.net/environment/weather/news/heavy-rains-likely-dhaka-4-other-divisions-next-24-hours-3700051,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
"Tk 33cr needed to repair 2,799 primary schools damaged by floods: ministry",https://www.thedailystar.net/environment/climate-crisis/natural-disaster/news/tk-33cr-needed-repair-2799-primary-schools-damaged-floods-ministry-3699886,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Shahnewaz Parvez made Titas MD,https://www.thedailystar.net/news/bangladesh/news/shahnewaz-parvez-made-titas-md-3699101,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Production fully suspended at Barapukuria power plant due to technical glitch,https://www.thedailystar.net/environment/natural-resources/energy/news/production-fully-suspended-barapukuria-power-plant-due-technical-glitch-3699046,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Deep depression in Bay; maritime ports to hoist local cautionary signal 3,https://www.thedailystar.net/environment/weather/news/deep-depression-bay-maritime-ports-hoist-local-cautionary-signal-3-3698306,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
"Floods in Bangladesh: Singapore to contribute $100,000 to SRC fundraiser",https://www.thedailystar.net/environment/climate-crisis/natural-disaster/news/floods-bangladesh-singapore-contribute-100000-src-fundraiser-3697596,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
"Flash floods: 4 dists count Tk 2,822cr in losses",https://www.thedailystar.net/environment/climate-crisis/natural-disaster/news/flash-floods-4-dists-count-tk-2822cr-losses-3696916,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Today's Gallery (2024.09.10),https://www.thedailystar.net/multimedia/homepage/todays-gallery-20240910-3698906,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Today's Gallery (2024.09.08),https://www.thedailystar.net/multimedia/homepage/todays-gallery-20240908-3697126,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Today's Gallery (2024.09.06),https://www.thedailystar.net/multimedia/homepage/todays-gallery-20240906-3695811,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Today's Gallery (2024.09.04),https://www.thedailystar.net/multimedia/homepage/todays-gallery-20240904-3693876,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
Today's Gallery (2024.09.02),https://www.thedailystar.net/multimedia/homepage/todays-gallery-20240902-3692361,The Daily Star,2024-09-12,00:16:35.452705,Uncategorized
